"Player","IP","K","W","L","ERA","WHIP","ER","H","BB","HR","G","GS","QS","CG","Own","POSRANK","POS","Wscaled","ERAscaled","Kscaled","WHIPscaled","totalScaled","Jenks","OverallRank","label","Tier"
"Chris Sale (BOS - SP)",186.5,251,16,6,2.66,0.97,55,141,40,19,30,30,22,0,"99%",2,"sp",2.20248179657109,2.9625779364267,2.42426034564097,3.2896288709575,10.8789489495963,"10",1,"Chris Sale (BOS - SP) as SP. Total: 10.88",1
"Max Scherzer (WSH - SP)",208.1,270,16,8,2.88,1,67,153,55,25,32,32,26,2,"99%",1,"sp",2.20248179657109,2.39493541246409,2.90819548503138,2.93154154828433,10.4371542423509,"10",2,"Max Scherzer (WSH - SP) as SP. Total: 10.44",1
"Jacob deGrom (NYM - SP)",207.6,248,15,9,2.7,1.05,62,166,52,20,31,31,26,1,"99%",3,"sp",1.81403703527108,2.85937020479714,2.34784953415828,2.33472934382905,9.35598611805554,"10",3,"Jacob deGrom (NYM - SP) as SP. Total: 9.36",1
"Justin Verlander (HOU - SP)",199.1,243,15,8,3.12,1.04,69,157,50,27,31,31,22,1,"99%",4,"sp",1.81403703527108,1.77568902268669,2.22049818168712,2.4540917847201,8.26431602436499,"9",4,"Justin Verlander (HOU - SP) as SP. Total: 8.26",2
"Corey Kluber (CLE - SP)",205.9,221,16,8,3.17,1.06,72,177,42,24,31,31,23,3,"99%",5,"sp",2.20248179657109,1.64667935814973,1.66015223081402,2.21536690293799,7.72468028847284,"9",5,"Corey Kluber (CLE - SP) as SP. Total: 7.72",2
"Carlos Carrasco (CLE - SP)",190.2,217,15,8,3.31,1.12,70,169,44,23,31,30,20,2,"99%",8,"sp",1.81403703527108,1.28545229744625,1.5582711488371,1.49919225759166,6.15695273914608,"8",6,"Carlos Carrasco (CLE - SP) as SP. Total: 6.16",3
"Gerrit Cole (HOU - SP)",195.7,235,14,8,3.32,1.14,72,163,59,23,32,32,21,1,"99%",6,"sp",1.42559227397106,1.25965036453886,2.01673601773327,1.26046737580955,5.96244603205273,"8",7,"Gerrit Cole (HOU - SP) as SP. Total: 5.96",3
"Aaron Nola (PHI - SP)",196.6,210,14,9,3.21,1.14,70,167,56,20,32,32,23,0,"99%",7,"sp",1.42559227397106,1.54347162652017,1.37997925537747,1.26046737580955,5.60951053167825,"8",8,"Aaron Nola (PHI - SP) as SP. Total: 5.61",3
"Blake Snell (TB - SP)",182.1,216,14,8,3.13,1.18,63,143,71,19,32,32,21,0,"99%",9,"sp",1.42559227397106,1.7498870897793,1.53280087834286,0.783017612245327,5.49129785433855,"8",9,"Blake Snell (TB - SP) as SP. Total: 5.49",3
"Trevor Bauer (CLE - SP)",187.3,218,14,8,3.33,1.19,69,161,62,20,31,31,21,0,"99%",10,"sp",1.42559227397106,1.23384843163147,1.58374141933133,0.663655171354271,4.90683729628813,"8",10,"Trevor Bauer (CLE - SP) as SP. Total: 4.91",3
"Clayton Kershaw (LAD - SP)",153.3,155,11,6,2.96,1.06,50,131,31,17,24,24,18,0,"97%",11,"sp",0.260257990071011,2.18851994920495,-0.0208856218052698,2.21536690293799,4.64325922040869,"8",11,"Clayton Kershaw (LAD - SP) as SP. Total: 4.64",3
"James Paxton (NYY - SP)",166.7,198,13,7,3.44,1.14,64,144,45,21,28,28,17,1,"99%",14,"sp",1.03714751267104,0.950027169650159,1.07433600944669,1.26046737580955,4.32197806757745,"7",12,"James Paxton (NYY - SP) as SP. Total: 4.32",4
"Luis Severino (NYY - SP) DL10",152.9,174,12,6,3.31,1.13,56,133,39,18,26,26,15,0,"98%",15,"sp",0.648702751371028,1.28545229744625,0.463049517585132,1.37982981670061,3.77703438310301,"7",13,"Luis Severino (NYY - SP) DL10 as SP. Total: 3.78",4
"Walker Buehler (LAD - SP)",162.6,180,11,7,3.18,1.14,57,133,52,17,28,28,19,0,"99%",13,"sp",0.260257990071011,1.62087742524234,0.615871140550523,1.26046737580955,3.75747393167342,"7",14,"Walker Buehler (LAD - SP) as SP. Total: 3.76",4
"Noah Syndergaard (NYM - SP)",175.2,182,12,8,3.23,1.17,63,159,45,15,28,28,20,2,"99%",12,"sp",0.648702751371028,1.49186776070538,0.666811681538986,0.902380053136382,3.70976224675178,"7",15,"Noah Syndergaard (NYM - SP) as SP. Total: 3.71",4
"Stephen Strasburg (WSH - SP)",163,186,12,8,3.41,1.16,62,142,48,19,28,28,18,0,"99%",17,"sp",0.648702751371028,1.02743296837233,0.768692763515913,1.02174249402744,3.46657097728671,"7",16,"Stephen Strasburg (WSH - SP) as SP. Total: 3.47",4
"Patrick Corbin (WSH - SP)",187.8,202,13,9,3.5,1.22,73,173,55,21,32,32,20,1,"99%",16,"sp",1.03714751267104,0.795215572205809,1.17621709142362,0.305567848681103,3.31414802498158,"7",17,"Patrick Corbin (WSH - SP) as SP. Total: 3.31",4
"Zack Greinke (ARI - SP)",194.7,186,13,11,3.7,1.18,80,181,49,25,31,31,19,0,"99%",18,"sp",1.03714751267104,0.279176914057977,0.768692763515913,0.783017612245327,2.86803480249026,"7",18,"Zack Greinke (ARI - SP) as SP. Total: 2.87",4
"Charlie Morton (TB - SP)",158.3,177,12,7,3.41,1.2,60,132,58,16,27,27,17,0,"92%",21,"sp",0.648702751371028,1.02743296837233,0.539460329067827,0.544292730463215,2.7598887792744,"7",19,"Charlie Morton (TB - SP) as SP. Total: 2.76",4
"Jack Flaherty (STL - SP)",168.2,189,11,9,3.49,1.18,65,139,61,21,30,30,16,0,"99%",19,"sp",0.260257990071011,0.8210175051132,0.845103574998608,0.783017612245327,2.70939668242815,"7",20,"Jack Flaherty (STL - SP) as SP. Total: 2.71",4
"Mike Clevinger (CLE - SP)",180.5,192,13,9,3.66,1.25,73,158,68,22,30,30,19,1,"99%",23,"sp",1.03714751267104,0.382384645687544,0.921514386481303,-0.052519473992064,2.28852707084783,"6",21,"Mike Clevinger (CLE - SP) as SP. Total: 2.29",5
"David Price (BOS - SP)",177.3,177,13,8,3.79,1.21,75,164,51,23,30,30,18,1,"98%",24,"sp",1.03714751267104,0.0469595178914532,0.539460329067827,0.424930289572159,2.04849764920248,"6",22,"David Price (BOS - SP) as SP. Total: 2.05",5
"Miles Mikolas (STL - SP)",190.6,149,13,9,3.61,1.2,77,191,37,21,31,31,20,1,"93%",20,"sp",1.03714751267104,0.511394310224502,-0.17370724477066,0.544292730463215,1.9191273085881,"6",23,"Miles Mikolas (STL - SP) as SP. Total: 1.92",5
"Jose Berrios (MIN - SP)",188.8,192,13,10,3.9,1.23,82,170,62,24,32,32,18,1,"98%",25,"sp",1.03714751267104,-0.236861744089854,0.921514386481303,0.186205407790048,1.90800556285254,"6",24,"Jose Berrios (MIN - SP) as SP. Total: 1.91",5
"Jameson Taillon (PIT - SP)",186.7,174,12,10,3.64,1.23,76,181,48,21,32,32,19,2,"99%",22,"sp",0.648702751371028,0.433988511502327,0.463049517585132,0.186205407790048,1.73194618824853,"6",25,"Jameson Taillon (PIT - SP) as SP. Total: 1.73",5
"Rich Hill (LAD - SP)",136.1,150,10,7,3.49,1.15,53,111,45,18,24,24,13,0,"78%",33,"sp",-0.128186771229006,0.8210175051132,-0.148236974276428,1.14110493491849,1.68569869452626,"6",26,"Rich Hill (LAD - SP) as SP. Total: 1.69",5
"J.A. Happ (NYY - SP)",167.6,170,13,8,3.82,1.22,71,153,52,24,29,29,16,0,"91%",34,"sp",1.03714751267104,-0.030446280830721,0.361168435608206,0.305567848681103,1.67343751612963,"6",27,"J.A. Happ (NYY - SP) as SP. Total: 1.67",5
"Masahiro Tanaka (NYY - SP)",165.6,167,12,8,3.84,1.18,71,157,38,24,28,28,17,1,"96%",27,"sp",0.648702751371028,-0.0820501466455042,0.284757624125511,0.783017612245327,1.63442784109636,"6",28,"Masahiro Tanaka (NYY - SP) as SP. Total: 1.63",5
"Kyle Hendricks (CHC - SP)",184.3,155,12,9,3.68,1.2,75,175,47,22,31,31,18,0,"91%",26,"sp",0.648702751371028,0.33078077987276,-0.0208856218052698,0.544292730463215,1.50289063990173,"6",29,"Kyle Hendricks (CHC - SP) as SP. Total: 1.5",5
"Zack Wheeler (NYM - SP)",173.8,171,11,9,3.6,1.24,70,156,59,18,29,29,19,0,"96%",28,"sp",0.260257990071011,0.537196243131893,0.386638706102437,0.0668429668989918,1.25093590620433,"6",30,"Zack Wheeler (NYM - SP) as SP. Total: 1.25",5
"German Marquez (COL - SP)",184.7,198,12,10,3.89,1.27,80,180,55,24,32,32,18,0,"92%",31,"sp",0.648702751371028,-0.211059811182463,1.07433600944669,-0.291244355774176,1.22073459386108,"6",31,"German Marquez (COL - SP) as SP. Total: 1.22",5
"Chris Archer (PIT - SP)",178.9,198,11,10,3.78,1.27,75,169,58,22,32,31,17,0,"92%",29,"sp",0.260257990071011,0.0727614507988454,1.07433600944669,-0.291244355774176,1.11611109454237,"6",32,"Chris Archer (PIT - SP) as SP. Total: 1.12",5
"Rick Porcello (BOS - SP)",186.7,173,13,10,4.12,1.23,85,185,44,27,32,32,16,1,"90%",37,"sp",1.03714751267104,-0.804504268052469,0.437579247090901,0.186205407790048,0.856427899499523,"5",33,"Rick Porcello (BOS - SP) as SP. Total: 0.86",6
"Robbie Ray (ARI - SP)",161.2,207,10,8,3.74,1.3,67,134,76,21,29,29,15,0,"92%",38,"sp",-0.128186771229006,0.175969182428411,1.30356844389478,-0.649331678447343,0.702019176646841,"5",34,"Robbie Ray (ARI - SP) as SP. Total: 0.7",6
"Madison Bumgarner (SF - SP)",178.7,161,10,10,3.72,1.22,74,167,51,24,29,29,19,1,"94%",32,"sp",-0.128186771229006,0.227573048243194,0.13193600116012,0.305567848681103,0.536890126855412,"5",35,"Madison Bumgarner (SF - SP) as SP. Total: 0.54",6
"Mike Foltynewicz (ATL - SP) DL10",149.6,157,10,8,3.64,1.23,61,130,54,19,25,25,15,1,"91%",35,"sp",-0.128186771229006,0.433988511502327,0.0300549191831936,0.186205407790048,0.522062067246562,"5",36,"Mike Foltynewicz (ATL - SP) DL10 as SP. Total: 0.52",6
"Kenta Maeda (LAD - SP)",138.2,150,10,7,3.68,1.21,56,124,43,17,30,23,9,0,"78%",30,"sp",-0.128186771229006,0.33078077987276,-0.148236974276428,0.424930289572159,0.479287323939486,"5",37,"Kenta Maeda (LAD - SP) as SP. Total: 0.48",6
"Jose Quintana (CHC - SP)",175.4,167,12,9,3.9,1.28,76,164,61,21,31,31,16,0,"86%",42,"sp",0.648702751371028,-0.236861744089854,0.284757624125511,-0.410606796665231,0.285991834741453,"5",38,"Jose Quintana (CHC - SP) as SP. Total: 0.29",6
"Cole Hamels (CHC - SP)",173.8,166,11,9,3.83,1.27,74,159,62,21,29,29,18,1,"91%",40,"sp",0.260257990071011,-0.0562482137381132,0.259287353631279,-0.291244355774176,0.172052774190001,"5",39,"Cole Hamels (CHC - SP) as SP. Total: 0.17",6
"Shane Bieber (CLE - SP)",157.4,150,11,8,3.87,1.23,68,163,31,18,27,27,16,0,"87%",39,"sp",0.260257990071011,-0.15945594536768,-0.148236974276428,0.186205407790048,0.138770478216951,"5",40,"Shane Bieber (CLE - SP) as SP. Total: 0.14",6
"Luis Castillo (CIN - SP)",166.9,166,10,10,3.92,1.23,73,154,51,24,30,30,16,0,"90%",36,"sp",-0.128186771229006,-0.288465609904637,0.259287353631279,0.186205407790048,0.0288403802876838,"5",41,"Luis Castillo (CIN - SP) as SP. Total: 0.03",6
"Andrew Heaney (LAA - SP)",151.9,151,10,8,3.88,1.21,66,143,40,23,26,26,16,1,"67%",43,"sp",-0.128186771229006,-0.185257878275071,-0.122766703782197,0.424930289572159,-0.0112810637141137,"5",42,"Andrew Heaney (LAA - SP) as SP. Total: -0.01",6
"Dallas Keuchel (SP) FA",168.2,131,11,8,3.62,1.26,68,164,49,16,27,27,14,1,"81%",45,"sp",0.260257990071011,0.48559237731711,-0.632172113666831,-0.17188191488312,-0.0582036611618292,"5",43,"Dallas Keuchel (SP) FA as SP. Total: -0.06",6
"Hyun-Jin Ryu (LAD - SP)",122.2,121,9,6,3.53,1.21,48,115,33,16,22,22,13,0,"73%",54,"sp",-0.516631532529022,0.717809773483635,-0.886874818609148,0.424930289572159,-0.260766288082376,"4",44,"Hyun-Jin Ryu (LAD - SP) as SP. Total: -0.26",7
"Yu Darvish (CHC - SP)",141.2,160,9,8,3.81,1.24,60,123,52,18,24,24,15,0,"89%",46,"sp",-0.516631532529022,-0.00464434792332997,0.106465730665889,0.0668429668989918,-0.347967182887472,"4",45,"Yu Darvish (CHC - SP) as SP. Total: -0.35",7
"Ross Stripling (LAD - SP,RP)",117.1,119,8,6,3.51,1.19,46,112,28,15,36,17,9,0,"75%",44,"sp",-0.905076293829039,0.769413639298418,-0.937815359597611,0.663655171354271,-0.409822842773961,"4",46,"Ross Stripling (LAD - SP,RP) as SP. Total: -0.41",7
"Jake Arrieta (PHI - SP)",173.2,152,11,10,3.95,1.27,76,162,59,23,31,31,16,0,"84%",50,"sp",0.260257990071011,-0.365871408626812,-0.0972964332879649,-0.291244355774176,-0.494154207617942,"4",47,"Jake Arrieta (PHI - SP) as SP. Total: -0.49",7
"Joey Lucchesi (SD - SP)",155.6,160,10,10,3.9,1.27,67,147,51,20,28,28,14,0,"67%",51,"sp",-0.128186771229006,-0.236861744089854,0.106465730665889,-0.291244355774176,-0.549827140427146,"4",48,"Joey Lucchesi (SD - SP) as SP. Total: -0.55",7
"Jon Lester (CHC - SP)",179.9,159,12,9,4.01,1.32,80,175,62,24,31,31,18,0,"84%",57,"sp",0.648702751371028,-0.520683006071161,0.080995460171657,-0.888056560229454,-0.679041354757931,"4",49,"Jon Lester (CHC - SP) as SP. Total: -0.68",7
